player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
D.J. Augustin,OKC,82,23.9,3.1,7.9,.399,1.0,3.0,.337,2.2,2.5,.868,1.8,1.1,0.2,1.7,2.0,4.3,0.6,9.5
Greivis Vasquez,TOR,82,24.3,3.6,8.8,.408,1.6,4.3,.379,0.6,0.8,.758,1.5,2.2,0.3,2.4,2.6,3.7,0.6,9.5
Mike Dunleavy,CHI,63,29.2,3.3,7.6,.435,1.7,4.2,.407,1.1,1.4,.805,1.0,2.0,0.4,3.5,3.9,1.8,0.6,9.4
Luis Scola,IND,81,20.5,3.7,7.9,.467,0.1,0.2,.250,2.0,2.8,.699,1.2,2.4,1.7,4.8,6.5,1.3,0.6,9.4
Nicolas Batum,POR,71,33.5,3.4,8.5,.400,1.4,4.4,.324,1.2,1.4,.857,1.9,1.5,0.9,5.0,5.9,4.8,1.1,9.4
Amir Johnson,TOR,75,26.4,4.0,6.9,.574,0.3,0.6,.413,1.1,1.7,.612,1.5,3.0,2.1,4.0,6.1,1.6,0.6,9.3
P.J. Tucker,PHX,78,30.6,3.3,7.6,.438,1.1,3.2,.345,1.3,1.8,.727,1.2,2.3,1.5,5.0,6.4,1.6,1.4,9.1
Bojan Bogdanovic,BRK,78,23.8,3.3,7.4,.453,1.2,3.3,.355,1.1,1.4,.821,1.0,1.3,0.6,2.1,2.7,0.9,0.4,9.0
Rajon Rondo,DAL,68,29.7,4.0,9.5,.426,0.4,1.3,.314,0.5,1.1,.397,3.1,2.2,1.1,4.4,5.5,7.9,1.3,8.9
Elfrid Payton,ORL,82,30.3,3.7,8.6,.425,0.1,0.5,.262,1.4,2.6,.551,2.5,2.4,1.3,3.0,4.3,6.5,1.7,8.9
Solomon Hill,IND,82,29.0,3.1,7.7,.396,0.8,2.5,.327,1.9,2.4,.824,1.4,2.2,0.9,3.0,3.8,2.2,0.8,8.9
Hollis Thompson,PHI,71,25.0,3.2,7.6,.413,1.6,4.0,.401,0.9,1.3,.708,0.9,2.0,0.7,2.0,2.8,1.2,0.8,8.8
